500,638,16,2
500,522,18,1
500,741,22,1
500,798,32,1
500,690,28,1
500,558,23,1
500,578,12,1
500,673,35,1
500,642,45,1
500,723,11,1
500,671,23,1
500,758,34,1
500,507,45,1
500,586,33,1
500,703,45,1
500,716,25,1
500,724,11,1
500,828,41,1
500,633,23,1
500,783,18,1
500,635,36,1
500,525,33,1
500,636,24,1
500,813,15,1
500,736,44,1
500,833,13,1
500,808,29,1
500,714,14,1
500,806,28,1
500,681,31,1
500,661,35,1
500,546,32,1
500,759,10,1
500,803,21,1
500,670,22,1
500,796,21,1
500,665,32,1
500,687,11,1
500,573,13,1
500,812,38,1
500,698,45,1
500,675,39,1
500,700,38,1
500,749,38,1
500,537,44,1
500,748,27,1
500,824,37,1
500,839,29,1
500,740,31,1
500,533,42,1
500,775,40,1
500,663,24,1
500,639,14,1
500,612,31,1
500,580,14,1
500,632,14,1
500,535,17,1
500,818,15,1
500,503,44,1
500,788,12,1
500,513,27,1
500,729,41,1
500,659,29,1
500,629,41,1
500,641,35,1
500,676,30,1
500,739,14,1
500,773,20,1
500,792,15,1
500,509,19,1
500,682,40,1
500,637,29,1
500,769,13,1
500,611,12,1
500,574,32,1
500,623,32,1
500,539,26,1
500,595,30,1
500,683,39,1
500,760,18,1
500,697,25,1
500,766,39,1
500,768,17,1
500,734,16,1
500,579,45,1
500,737,34,1
500,699,22,1
500,757,43,1
500,624,15,1
500,545,29,1
500,850,16,1
500,722,26,1
500,795,15,1
500,817,18,1
500,830,44,1
500,843,41,1
500,553,35,1
500,837,30,1
500,588,18,1
500,733,26,1
500,89,42,0
500,76,35,0
500,434,19,0
500,487,16,0
500,493,18,0
500,421,39,0
500,379,23,0
500,177,12,0
500,482,27,0
500,168,10,0
500,208,39,0
500,162,29,0
500,306,25,0
500,394,27,0
500,184,29,0
500,429,17,0
500,81,20,0
500,158,17,0
500,435,10,0
500,401,17,0
500,271,33,0
500,161,18,0
500,124,40,0
500,26,23,0
500,175,15,0
500,293,25,0
500,354,20,0
500,245,43,0
500,462,32,0
500,466,41,0
500,75,37,0
500,209,43,0
500,304,43,0
500,256,40,0
500,141,43,0
500,302,23,0
500,87,12,0
500,72,13,0
500,4,42,0
500,178,39,0
500,36,16,0
500,39,38,0
500,107,31,0
500,21,37,0
500,59,20,0
500,206,37,0
500,143,43,0
500,52,44,0
500,149,24,0
500,74,20,0
500,861,33,1
500,938,14,1
500,981,36,1
500,1019,37,1
500,876,40,1
500,1020,27,1
500,933,42,1
500,889,39,1
500,865,17,1
500,920,10,1
500,926,18,1
500,923,10,1
500,853,29,1
500,922,23,1
500,998,28,1
500,966,16,1
500,950,13,1
500,1001,36,1
500,930,18,1
500,999,30,1
500,873,44,1
500,969,39,1
500,881,26,1
500,896,42,1
500,857,20,1
500,1010,10,1
500,947,41,1
500,859,20,1
500,1005,43,1
500,937,28,1
500,893,39,1
500,872,10,1
500,878,29,1
500,883,40,1
500,888,44,1
500,1009,21,1
500,917,33,1
500,974,28,1
500,858,19,1
500,918,19,1
500,1021,22,1
500,986,36,1
500,968,17,1
500,1015,35,1
500,914,35,1
500,941,13,1
500,902,45,1
500,894,42,1
500,1022,45,1
500,979,10,1
